"list_name","name","label","district"
"community","henicheska","Генічеська","kerchenskyi"
"community","dovzhanska","Довжанська","rovenkivskyi"
"community","snizhnianska","Сніжнянська","rovenkivskyi"
"community","rovenkivska","Ровеньківська","rovenkivskyi"
"community","lutuhynska","Лутугинська","rovenkivskyi"
"community","alchevska","Алчевська","rovenkivskyi"
"community","antratsytivska","Антрацитівська","rovenkivskyi"
"community","khrustalnenska","Хрустальненська","rovenkivskyi"
"community","chystiakivska","Чистяківська","rovenkivskyi"
"community","khrestivska","Хрестівська","rovenkivskyi"
"community","kyrylivska","Кирилівська","henicheskyi"
"community","prysyvaska","Присиваська","henicheskyi"
"community","chkalovska","Чкаловська","henicheskyi"
"community","rubanivska","Рубанівська","henicheskyi"
"community","ivanivska","Іванівська","henicheskyi"
"community","nyzhnosirohozka","Нижньосірогозька","henicheskyi"
"community","askaniia-nova","Асканія-Нова","henicheskyi"
"community","veselivska","Веселівська","henicheskyi"
"community","verkhnorohachytska","Верхньорогачицька","henicheskyi"
"community","hornostaivska","Горностаївська","henicheskyi"
"community","tavrychanska","Тавричанська","henicheskyi"
"community","yakymivska","Якимівська","henicheskyi"
"community","novotroitska","Новотроїцька","henicheskyi"
"community","oleshkivska","Олешківська","kakhovskyi"
"community","mylivska","Милівська","kakhovskyi"
"community","novokakhovska","Новокаховська","kakhovskyi"
"community","khrestivska","Хрестівська","kakhovskyi"
"community","vodianska","Водянська","kakhovskyi"
"community","kalanchatska","Каланчацька","kakhovskyi"
"community","beryslavska","Бериславська","kakhovskyi"
"community","velykolepetyska","Великолепетиська","kakhovskyi"
"community","pokrovska","Покровська","kakhovskyi"
"community","novooleksandrivska","Новоолександрівська","kakhovskyi"
"community","novoraiska","Новорайська","kakhovskyi"
"community","tiahynska","Тягинська","kakhovskyi"
"community","zelenopidska","Зеленопідська","kakhovskyi"
"community","kakhovska","Каховська","kakhovskyi"
"community","kostiantynivska","Костянтинівська","kakhovskyi"
"community","tavriiska","Таврійська","kakhovskyi"
"community","vynohradivska","Виноградівська","kakhovskyi"
"community","myrnenska","Мирненська","kakhovskyi"
"community","yuvileina","Ювілейна","kakhovskyi"
"community","velykobilozerska","Великобілозерська","kakhovskyi"
"community","kam'iansko-dniprovska","Кам'янсько-Дніпровська","kakhovskyi"
"community","novovorontsovska","Нововоронцовська","kakhovskyi"
"community","hrushivska","Грушівська","kakhovskyi"
"community","chaplynska","Чаплинська","kakhovskyi"
"community","liubymivska","Любимівська","kakhovskyi"
"community","bilozerska","Білозерська","skadovskyi"
"community","holoprystanska","Голопристанська","skadovskyi"
"community","chulakivska","Чулаківська","skadovskyi"
"community","ochakivska","Очаківська","skadovskyi"
"community","novomykolaivska","Новомиколаївська","skadovskyi"
"community","dolmativska","Долматівська","skadovskyi"
"community","lazurnenska","Лазурненська","skadovskyi"
"community","bekhterska","Бехтерська","skadovskyi"
"community","skadovska","Скадовська","skadovskyi"
"community","shevchenkivska","Шевченківська","khersonskyi"
"community","horokhivska","Горохівська","khersonskyi"
"community","snihurivska","Снігурівська","khersonskyi"
"community","halytsynivska","Галицинівська","khersonskyi"
"community","velykokopanivska","Великокопанівська","khersonskyi"
"community","dar'ivska","Дар'ївська","khersonskyi"
"community","stanislavska","Станіславська","khersonskyi"
"community","chornobaivska","Чорнобаївська","khersonskyi"
"community","muzykivska","Музиківська","khersonskyi"
"community","khersonska","Херсонська","khersonskyi"
"community","novodunaievetska","Новодунаєвецька","khmelnytskyi"
"community","viitovetska","Війтовецька","khmelnytskyi"
"community","volochyska","Волочиська","khmelnytskyi"
"community","husiatynska","Гусятинська","khmelnytskyi"
"community","viitivetska","Війтівецька","khmelnytskyi"
"community","lanovetska","Лановецька","khmelnytskyi"
"community","novoushytska","Новоушицька","khmelnytskyi"
"community","barska","Барська","khmelnytskyi"
"community","liubarska","Любарська","khmelnytskyi"
"community","yampilska","Ямпільська","khmelnytskyi"
"community","pidvolochyska","Підволочиська","khmelnytskyi"
"community","hrymailivska","Гримайлівська","khmelnytskyi"
"community","smotrytska","Смотрицька","khmelnytskyi"
"community","zinkivska","Зіньківська","khmelnytskyi"
"community","skorykivska","Скориківська","khmelnytskyi"
"community","zasluchnenska","Заслучненська","khmelnytskyi"
"community","zakupnenska","Закупненська","khmelnytskyi"
"community","antoninska","Антонінська","khmelnytskyi"
"community","chemerovetska","Чемеровецька","khmelnytskyi"
"community","vinkovetska","Віньковецька","khmelnytskyi"
"community","hvardiiska","Гвардійська","khmelnytskyi"
"community","vovkovynetska","Вовковинецька","khmelnytskyi"
"community","horodotska","Городоцька","khmelnytskyi"
"community","narkevytska","Наркевицька","khmelnytskyi"
"community","derazhnianska","Деражнянська","khmelnytskyi"
"community","rozsoshanska","Розсошанська","khmelnytskyi"
"community","krasylivska","Красилівська","khmelnytskyi"
"community","letychivska","Летичівська","khmelnytskyi"
"community","lisovohrynivetska","Лісовогринівецька","khmelnytskyi"
"community","medzhybizka","Меджибізька","khmelnytskyi"
"community","myroliubnenska","Миролюбненська","khmelnytskyi"
"community","satanivska","Сатанівська","khmelnytskyi"
"community","solobkovetska","Солобковецька","khmelnytskyi"
"community","starokostiantynivska","Старокостянтинівська","khmelnytskyi"
"community","staroostropilska","Староостропільська","khmelnytskyi"
"community","starosyniavska","Старосинявська","khmelnytskyi"
"community","teofipolska","Теофіпольська","khmelnytskyi"
"community","khmelnytska","Хмельницька","khmelnytskyi"
"community","chornoostrivska","Чорноострівська","khmelnytskyi"
"community","shchyborivska","Щиборівська","khmelnytskyi"
"community","yarmolynetska","Ярмолинецька","khmelnytskyi"
"community","hrytsivska","Грицівська","khmelnytskyi"
"community","bilohirska","Білогірська","khmelnytskyi"
"community","iziaslavska","Ізяславська","khmelnytskyi"
"community","lenkovetska","Ленковецька","khmelnytskyi"
"community","polonska","Полонська","khmelnytskyi"
"community","litynska","Літинська","khmelnytskyi"
"community","zhmerynska","Жмеринська","khmelnytskyi"
"community","khmilnytska","Хмільницька","khmelnytskyi"
"community","sakhnovetska","Сахновецька","khmelnytskyi"
"community","yerkivska","Єрківська","zvenyhorodskyi"
"community","butska","Буцька","zvenyhorodskyi"
"community","buzhanska","Бужанська","zvenyhorodskyi"
"community","vatutinska","Ватутінська","zvenyhorodskyi"
"community","vynohradska","Виноградська","zvenyhorodskyi"
"community","vilshanska","Вільшанська","zvenyhorodskyi"
"community","nadlatska","Надлацька","zvenyhorodskyi"
"community","novoarkhanhelska","Новоархангельська","zvenyhorodskyi"
"community","vodianytska","Водяницька","zvenyhorodskyi"
"community","lyp'ianska","Лип'янська","zvenyhorodskyi"
"community","katerynopilska","Катеринопільська","zvenyhorodskyi"
"community","lysianska","Лисянська","zvenyhorodskyi"
"community","mokrokalyhirska","Мокрокалигірська","zvenyhorodskyi"
"community","selyshchenska","Селищенська","zvenyhorodskyi"
"community","shevchenkivska","Шевченківська","zvenyhorodskyi"
"community","steblivska","Стеблівська","zvenyhorodskyi"
"community","shpolianska","Шполянська","zvenyhorodskyi"
"community","babanska","Бабанська","zvenyhorodskyi"
"community","bashtechkivska","Баштечківська","zvenyhorodskyi"
"community","dmytrushkivska","Дмитрушківська","zvenyhorodskyi"
"community","ivankivska","Іваньківська","zvenyhorodskyi"
"community","mankivska","Маньківська","zvenyhorodskyi"
"community","horodyshchenska","Городищенська","zvenyhorodskyi"
"community","korsun-shevchenkivska","Корсунь-Шевченківська","zvenyhorodskyi"
"community","medvynska","Медвинська","zvenyhorodskyi"
"community","rotmistrivska","Ротмістрівська","zvenyhorodskyi"
"community","stavyshchenska","Ставищенська","zvenyhorodskyi"
"community","tarashchanska","Таращанська","zvenyhorodskyi"
"community","ternivska","Тернівська","zvenyhorodskyi"
"community","bohuslavska","Богуславська","zvenyhorodskyi"
"community","matusivska","Матусівська","zvenyhorodskyi"
"community","novomyrhorodska","Новомиргородська","zvenyhorodskyi"
"community","zvenyhorodska","Звенигородська","zvenyhorodskyi"
"community","talnivska","Тальнівська","zvenyhorodskyi"
"community","nabutivska","Набутівська","zvenyhorodskyi"
"community","zorivska","Зорівська","zolotoniskyi"
"community","sahunivska","Сагунівська","zolotoniskyi"
"community","novodmytrivska","Новодмитрівська","zolotoniskyi"
"community","obolonska","Оболонська","zolotoniskyi"
"community","voznesenska","Вознесенська","zolotoniskyi"
"community","velykokhutirska","Великохутірська","zolotoniskyi"
"community","helmiazivska","Гельмязівська","zolotoniskyi"
"community","drabivska","Драбівська","zolotoniskyi"
"community","chervonoslobidska","Червонослобідська","zolotoniskyi"
"community","lipliavska","Ліплявська","zolotoniskyi"
"community","zolotoniska","Золотоніська","zolotoniskyi"
"community","pishchanska","Піщанська","zolotoniskyi"
"community","chornobaivska","Чорнобаївська","zolotoniskyi"
"community","shramkivska","Шрамківська","zolotoniskyi"
"community","leskivska","Леськівська","zolotoniskyi"
"community","budyshchenska","Будищенська","zolotoniskyi"
"community","hradyzka","Градизька","zolotoniskyi"
"community","hrebinkivska","Гребінківська","zolotoniskyi"
"community","pyriatynska","Пирятинська","zolotoniskyi"
"community","tashanska","Ташанська","zolotoniskyi"
"community","tsyblivska","Циблівська","zolotoniskyi"
"community","yahotynska","Яготинська","zolotoniskyi"
"community","orzhytska","Оржицька","zolotoniskyi"
"community","moshnivska","Мошнівська","zolotoniskyi"
"community","irkliivska","Іркліївська","zolotoniskyi"
"community","blahovishchenska","Благовіщенська","umanskyi"
"community","haivoronska","Гайворонська","umanskyi"
"community","holovanivska","Голованівська","umanskyi"
"community","perehonivska","Перегонівська","umanskyi"
"community","pidvysotska","Підвисоцька","umanskyi"
"community","palanska","Паланська","umanskyi"
"community","ladyzhynska","Ладижинська","umanskyi"
"community","umanska","Уманська","umanskyi"
"community","tetiivska","Тетіївська","umanskyi"
"community","dzhulynska","Джулинська","umanskyi"
"community","krasnopilska","Краснопільська","umanskyi"
"community","orativska","Оратівська","umanskyi"
"community","dashivska","Дашівська","umanskyi"
"community","teplytska","Теплицька","umanskyi"
"community","monastyryshchenska","Монастирищенська","umanskyi"
"community","zhashkivska","Жашківська","umanskyi"
"community","khrystynivska","Христинівська","umanskyi"
"community","cherkaska","Черкаська","cherkaskyi"
"community","chyhyrynska","Чигиринська","cherkaskyi"
"community","balakleivska","Балаклеївська","cherkaskyi"
"community","berezniakivska","Березняківська","cherkaskyi"
"community","bilozirska","Білозірська","cherkaskyi"
"community","bobrytska","Бобрицька","cherkaskyi"
"community","kanivska","Канівська","cherkaskyi"
"community","dmytrivska","Дмитрівська","cherkaskyi"
"community","medvedivska","Медведівська","cherkaskyi"
"community","mykhailivska","Михайлівська","cherkaskyi"
"community","divychkivska","Дівичківська","cherkaskyi"
"community","ruskopolianska","Руськополянська","cherkaskyi"
"community","smilianska","Смілянська","cherkaskyi"
"community","stepankivska","Степанківська","cherkaskyi"
"community","oleksandrivska","Олександрівська","cherkaskyi"
"community","myronivska","Миронівська","cherkaskyi"
"community","rzhyshchivska","Ржищівська","cherkaskyi"
"community","velykoandrusivska","Великоандрусівська","cherkaskyi"
"community","kam'ianska","Кам'янська","cherkaskyi"
"community","mliivska","Мліївська","cherkaskyi"
"community","stepanetska","Степанецька","cherkaskyi"
"community","biloberizka","Білоберізька","vyzhnytskyi"
"community","kutska","Кутська","vyzhnytskyi"
"community","mamaivska","Мамаївська","vyzhnytskyi"
"community","krasnoilska","Красноїльська","vyzhnytskyi"
"community","brusnytska","Брусницька","vyzhnytskyi"
"community","putylska","Путильська","vyzhnytskyi"
"community","storozhynetska","Сторожинецька","vyzhnytskyi"
"community","berehometska","Берегометська","vyzhnytskyi"
"community","ust-putylska","Усть-Путильська","vyzhnytskyi"
"community","seliatynska","Селятинська","vyzhnytskyi"
"community","banylivska","Банилівська","vyzhnytskyi"
"community","koniatynska","Конятинська","vyzhnytskyi"
"community","vashkivetska","Вашківецька","vyzhnytskyi"
"community","vyzhnytska","Вижницька","vyzhnytskyi"
"community","rozhnivska","Рожнівська","vyzhnytskyi"
"community","sniatynska","Снятинська","vyzhnytskyi"
"community","nepolokovetska","Неполоковецька","vyzhnytskyi"
"community","myrivska","Мирівська","zaporizkyi"
"community","vilnianska","Вільнянська","zaporizkyi"
"community","bilenkivska","Біленьківська","zaporizkyi"
"community","tavriiska","Таврійська","zaporizkyi"
"community","pavlivska","Павлівська","zaporizkyi"
"community","preobrazhenska","Преображенська","zaporizkyi"
"community","mykhailivska","Михайлівська","zaporizkyi"
"community","pokrovska","Покровська","zaporizkyi"
"community","novooleksandrivska","Новоолександрівська","zaporizkyi"
"community","stepnohirska","Степногірська","zaporizkyi"
"community","slavhorodska","Славгородська","zaporizkyi"
"community","dolynska","Долинська","zaporizkyi"
"community","mykhailo-lukashivska","Михайло-Лукашівська","zaporizkyi"
"community","orikhivska","Оріхівська","zaporizkyi"
"community","kushuhumska","Кушугумська","zaporizkyi"
"community","stepnenska","Степненська","zaporizkyi"
"community","matviivska","Матвіївська","zaporizkyi"
"community","zaporizka","Запорізька","zaporizkyi"
"community","novomykolaivska","Новомиколаївська","zaporizkyi"
"community","solonianska","Солонянська","zaporizkyi"
"community","ternuvatska","Тернуватська","zaporizkyi"
"community","vozdvyzhivska","Воздвижівська","zaporizkyi"
"community","tomakivska","Томаківська","zaporizkyi"
"community","vasylkivska","Васильківська","zaporizkyi"
"community","raivska","Раївська","zaporizkyi"
"community","shyrokivska","Широківська","zaporizkyi"
"community","komyshuvaska","Комишуваська","zaporizkyi"
"community","petro-mykhailivska","Петро-Михайлівська","zaporizkyi"
"community","kadiivska","Кадіївська","horlivskyi"
"community","popasnianska","Попаснянська","horlivskyi"
"community","debaltsivska","Дебальцівська","horlivskyi"
"community","bakhmutska","Бахмутська","horlivskyi"
"community","svitlodarska","Світлодарська","horlivskyi"
"community","ocheretynska","Очеретинська","horlivskyi"
"community","toretska","Торецька","horlivskyi"
"community","amvrosiivska","Амвросіївська","horlivskyi"
"community","vuhlehirska","Вуглегірська","horlivskyi"
"community","horlivska","Горлівська","horlivskyi"
"community","yenakiievska","Єнакієвська","horlivskyi"
"community","zhdanivska","Жданівська","horlivskyi"
"community","shakhtarska","Шахтарська","horlivskyi"
"community","ilovaiska","Іловайська","horlivskyi"
"community","makiivska","Макіївська","horlivskyi"
"community","khartsyzka","Харцизька","horlivskyi"
"community","kostiantynivska","Костянтинівська","horlivskyi"
"community","liutenska","Лютенська","myrhorodskyi"
"community","varvynska","Варвинська","myrhorodskyi"
"community","lubenska","Лубенська","myrhorodskyi"
"community","lebedynska","Лебединська","myrhorodskyi"
"community","lokhvytska","Лохвицька","myrhorodskyi"
"community","komyshanska","Комишанська","myrhorodskyi"
"community","synivska","Синівська","myrhorodskyi"
"community","lypovodolynska","Липоводолинська","myrhorodskyi"
"community","andriiashivska","Андріяшівська","myrhorodskyi"
"community","serhiivska","Сергіївська","myrhorodskyi"
"community","hadiatska","Гадяцька","myrhorodskyi"
"community","hoholivska","Гоголівська","myrhorodskyi"
"community","hlobynska","Глобинська","myrhorodskyi"
"community","petrivsko-romenska","Петрівсько-Роменська","myrhorodskyi"
"community","velykobahachanska","Великобагачанська","myrhorodskyi"
"community","romodanivska","Ромоданівська","myrhorodskyi"
"community","bilotserkivska","Білоцерківська","myrhorodskyi"
"community","semenivska","Семенівська","myrhorodskyi"
"community","khorolska","Хорольська","myrhorodskyi"
"community","chornukhynska","Чорнухинська","myrhorodskyi"
"community","velykobudyshchanska","Великобудищанська","myrhorodskyi"
"community","velykosorochynska","Великосорочинська","myrhorodskyi"
"community","zavodska","Заводська","myrhorodskyi"
"community","komyshnianska","Комишнянська","myrhorodskyi"
"community","myrhorodska","Миргородська","myrhorodskyi"
"community","krasnolutska","Краснолуцька","myrhorodskyi"
"community","senchanska","Сенчанська","myrhorodskyi"
"community","shyshatska","Шишацька","myrhorodskyi"
"community","dykanska","Диканська","myrhorodskyi"
"community","zinkivska","Зіньківська","myrhorodskyi"
"community","reshetylivska","Решетилівська","myrhorodskyi"
"community","lozivska","Лозівська","pavlohradskyi"
"community","pereshchepynska","Перещепинська","pavlohradskyi"
"community","dubovykivska","Миколаївська","pavlohradskyi"
"community","brahynivska","Брагинівська","pavlohradskyi"
"community","troitska","Троїцька","pavlohradskyi"
"community","mezhyritska","Межиріцька","pavlohradskyi"
"community","sakhnovshchynska","Сахновщинська","pavlohradskyi"
"community","blyzniukivska","Близнюківська","pavlohradskyi"
"community","ilarionivska","Іларіонівська","pavlohradskyi"
"community","ternivska","Тернівська","pavlohradskyi"
"community","cherkaska","Черкаська","pavlohradskyi"
"community","pishchanska","Піщанська","pavlohradskyi"
"community","hubynyska","Губиниська","pavlohradskyi"
"community","verbkivska","Вербківська","pavlohradskyi"
"community","bohdanivska","Богданівська","pavlohradskyi"
"community","pavlohradska","Павлоградська","pavlohradskyi"
"community","zaitsivska","Зайцівська","pavlohradskyi"
"community","rozdorska","Роздорська","pavlohradskyi"
"community","yur'ivska","Юр'ївська","pavlohradskyi"
"community","boikivska","Бойківська","kalmiuskyi"
"community","novoazovska","Новоазовська","kalmiuskyi"
"community","volnovaska","Волноваська","kalmiuskyi"
"community","vuhledarska","Вугледарська","kalmiuskyi"
"community","myrnenska","Мирненська","kalmiuskyi"
"community","olhynska","Ольгинська","kalmiuskyi"
"community","dokuchaievska","Докучаєвська","kalmiuskyi"
"community","donetska","Донецька","kalmiuskyi"
"community","kalmiuska","Кальміуська","kalmiuskyi"
"community","starobeshivska","Старобешівська","kalmiuskyi"
"community","sartanska","Сартанська","kalmiuskyi"
"community","mar'inska","Мар'їнська","kalmiuskyi"
"community","barvinkivska","Барвінківська","kramatorskyi"
"community","chasovoiarska","Часовоярська","kramatorskyi"
"community","shakhivska","Шахівська","kramatorskyi"
"community","krasnorichenska","Красноріченська","kramatorskyi"
"community","borivska","Борівська","kramatorskyi"
"community","kreminska","Кремінська","kramatorskyi"
"community","ukrainska","Українська","kramatorskyi"
"community","slov'ianska","Слов'янська","kramatorskyi"
"community","novodonetska","Новодонецька","kramatorskyi"
"community","dobropilska","Добропільська","kramatorskyi"
"community","slov'ianska","Слов'янська","kramatorskyi"
"community","bilozerska","Білозерська","kramatorskyi"
"community","siverska","Сіверська","kramatorskyi"
"community","soledarska","Соледарська","kramatorskyi"
"community","kryvorizka","Криворізька","kramatorskyi"
"community","cherkaska","Черкаська","kramatorskyi"
"community","andriivska","Андріївська","kramatorskyi"
"community","druzhkivska","Дружківська","kramatorskyi"
"community","kramatorska","Краматорська","kramatorskyi"
"community","illinivska","Іллінівська","kramatorskyi"
"community","mykolaivska","Миколаївська","kramatorskyi"
"community","oleksandrivska","Олександрівська","kramatorskyi"
"community","sviatohirska","Святогірська","kramatorskyi"
"community","hrodivska","Гродівська","kramatorskyi"
"community","oskilska","Оскільська","kramatorskyi"
"community","lymanska","Лиманська","kramatorskyi"
"community","dzhurynska","Джуринська","zhmerynskyi"
"community","murafska","Мурафська","zhmerynskyi"
"community","hnivanska","Гніванська","zhmerynskyi"
"community","tyvrivska","Тиврівська","zhmerynskyi"
"community","yakushynetska","Якушинецька","zhmerynskyi"
"community","severynivska","Северинівська","zhmerynskyi"
"community","kopaihorodska","Копайгородська","zhmerynskyi"
"community","stanislavchytska","Станіславчицька","zhmerynskyi"
"community","sharhorodska","Шаргородська","zhmerynskyi"
"community","vendychanska","Вендичанська","zhmerynskyi"
"community","chernivetska","Чернівецька","zhmerynskyi"
"community","murovanokurylovetska","Мурованокуриловецька","zhmerynskyi"
"community","tomashpilska","Томашпільська","zhmerynskyi"
"community","shpykivska","Шпиківська","zhmerynskyi"
"community","yampilska","Ямпільська","mohyliv-podilskyi"
"community","sokyrianska","Сокирянська","mohyliv-podilskyi"
"community","babchynetska","Бабчинецька","mohyliv-podilskyi"
"community","yaryshivska","Яришівська","mohyliv-podilskyi"
"community","mohyliv-podilska","Могилів-Подільська","mohyliv-podilskyi"
"community","horodkivska","Городківська","mohyliv-podilskyi"
"community","studenianska","Студенянська","mohyliv-podilskyi"
"community","vapniarska","Вапнярська","tulchynskyi"
"community","ladyzhynska","Ладижинська","tulchynskyi"
"community","kunkivska","Кунківська","tulchynskyi"
"community","raihorodska","Райгородська","tulchynskyi"
"community","nemyrivska","Немирівська","tulchynskyi"
"community","haisynska","Гайсинська","tulchynskyi"
"community","obodivska","Ободівська","tulchynskyi"
"community","trostianetska","Тростянецька","tulchynskyi"
"community","chechelnytska","Чечельницька","tulchynskyi"
"community","kryzhopilska","Крижопільська","tulchynskyi"
"community","bratslavska","Брацлавська","tulchynskyi"
"community","pishchanska","Піщанська","tulchynskyi"
"community","tulchynska","Тульчинська","tulchynskyi"
"community","kodymska","Кодимська","tulchynskyi"
"community","stryzhavska","Стрижавська","khmilnytskyi"
"community","pohrebyshchenska","Погребищенська","khmilnytskyi"
"community","turbivska","Турбівська","khmilnytskyi"
"community","koziatynska","Козятинська","khmilnytskyi"
"community","hlukhovetska","Глуховецька","khmilnytskyi"
"community","ivanivska","Іванівська","khmilnytskyi"
"community","makhnivska","Махнівська","khmilnytskyi"
"community","kalynivska","Калинівська","khmilnytskyi"
"community","samhorodotska","Самгородоцька","khmilnytskyi"
"community","ulanivska","Уланівська","khmilnytskyi"
"community","vchoraishenska","Вчорайшенська","khmilnytskyi"
"community","raihorodotska","Райгородоцька","khmilnytskyi"
"community","andrushivska","Андрушівська","khmilnytskyi"
"community","krasnopilska","Краснопільська","khmilnytskyi"
"community","ruzhynska","Ружинська","khmilnytskyi"
"community","semenivska","Семенівська","khmilnytskyi"
"community","vyshnivska","Вишнівська","volodymyr-volynskyi"
"community","ustyluzka","Устилузька","volodymyr-volynskyi"
"community","volodymyr-volynska","Володимир-Волинська","volodymyr-volynskyi"
"community","zaturtsivska","Затурцівська","volodymyr-volynskyi"
"community","ivanychivska","Іваничівська","volodymyr-volynskyi"
"community","zymnivska","Зимнівська","volodymyr-volynskyi"
"community","novovolynska","Нововолинська","volodymyr-volynskyi"
"community","lytovezka","Литовезька","volodymyr-volynskyi"
"community","lokachynska","Локачинська","volodymyr-volynskyi"
"community","ovadnivska","Оваднівська","volodymyr-volynskyi"
"community","pavlivska","Павлівська","volodymyr-volynskyi"
"community","poromivska","Поромівська","volodymyr-volynskyi"
"community","dorosynivska","Доросинівська","volodymyr-volynskyi"
"community","turiiska","Турійська","volodymyr-volynskyi"
"community","horokhivska","Горохівська","volodymyr-volynskyi"
"community","torchynska","Торчинська","volodymyr-volynskyi"
"community","sokalska","Сокальська","volodymyr-volynskyi"
"community","rivnenska","Рівненська","kovelskyi"
"community","dubivska","Дубівська","kovelskyi"
"community","kamin-kashyrska","Камінь-Каширська","kovelskyi"
"community","manevytska","Маневицька","kovelskyi"
"community","liublynetska","Люблинецька","kovelskyi"
"community","velymchenska","Велимченська","kovelskyi"
"community","dubechnenska","Дубечненська","kovelskyi"
"community","soshychnenska","Сошичненська","kovelskyi"
"community","velytska","Велицька","kovelskyi"
"community","holobska","Голобська","kovelskyi"
"community","zabolottivska","Заболоттівська","kovelskyi"
"community","holovnenska","Головненська","kovelskyi"
"community","kovelska","Ковельська","kovelskyi"
"community","zabrodivska","Забродівська","kovelskyi"
"community","kolodiazhnenska","Колодяжненська","kovelskyi"
"community","lukivska","Луківська","kovelskyi"
"community","liubomlska","Любомльська","kovelskyi"
"community","povorska","Поворська","kovelskyi"
"community","samarivska","Самарівська","kovelskyi"
"community","ratnivska","Ратнівська","kovelskyi"
"community","serekhovychivska","Сереховичівська","kovelskyi"
"community","smidynska","Смідинська","kovelskyi"
"community","starovyzhivska","Старовижівська","kovelskyi"
"community","shatska","Шацька","kovelskyi"
"community","rozhyshchenska","Рожищенська","kovelskyi"
"community","kolkivska","Колківська","kovelskyi"
"community","lysychanska","Лисичанська","bakhmutskyi"
"community","zvanivska","Званівська","bakhmutskyi"
"community","chudnivska","Чуднівська","berdychivskyi"
"community","shvaikivska","Швайківська","berdychivskyi"
"community","skvyrska","Сквирська","berdychivskyi"
"community","kharytonivska","Харитонівська","berdychivskyi"
"community","berdychivska","Бердичівська","berdychivskyi"
"community","hryshkovetska","Гришковецька","berdychivskyi"
"community","chervonenska","Червоненська","berdychivskyi"
"community","andrushkivska","Андрушківська","berdychivskyi"
"community","korostyshivska","Коростишівська","berdychivskyi"
"community","vilshanska","Вільшанська","berdychivskyi"
"community","novohuivynska","Новогуйвинська","berdychivskyi"
"community","popilnianska","Попільнянська","berdychivskyi"
"community","stanyshivska","Станишівська","berdychivskyi"
"community","malynska","Малинська","zhytomyrskyi"
"community","novoborivska","Новоборівська","zhytomyrskyi"
"community","bronykivska","Брониківська","zhytomyrskyi"
"community","horodotska","Городоцька","zhytomyrskyi"
"community","hlybochytska","Глибочицька","zhytomyrskyi"
"community","kurnenska","Курненська","zhytomyrskyi"
"community","pulynska","Пулинська","zhytomyrskyi"
"community","kvitneva","Квітнева","zhytomyrskyi"
"community","makarivska","Макарівська","zhytomyrskyi"
"community","piskivska","Пісківська","zhytomyrskyi"
"community","vysokivska","Високівська","zhytomyrskyi"
"community","byshivska","Бишівська","zhytomyrskyi"
"community","kozhanska","Кожанська","zhytomyrskyi"
"community","tomashivska","Томашівська","zhytomyrskyi"
"community","berezivska","Березівська","zhytomyrskyi"
